id,user_id,wallet_address,transaction_hash,amount_sol,amount_usd,purchase_date,status
00348526-162d-448d-8fc2-d6fd60702b90,1203885775729463296,ByXuHrj3XS2dXgpYiMgDCs8q6QWSGLTEc8hE63MBcajr,57bTYQppwYJhSgvE15nqK9tLTfMag2pMdJfyR6fxG9FQWkraVptcngtcvyJLJSRMmLBgYYd3UThW1KnpBQR4HwP2,0.02,3.5,2025-07-29 00:45:51+00,completed
0051258f-5edd-4ac8-8083-c5202eb4a413,1209880540342386690,LcSbDtMTLPMz8GvjiUEnUzDUq8aEYXf3CfbRtMHHVTS,4tocNQs2p4LpAqrZznWVbRs9rJue2G7GrJwg8qFSuY2sfmmpj6kpXVV6kboTWB5goqrXqbksAkA6tW5vGGSSysX2,0.02,4,2025-07-22 12:33:38.561844+00,completed
00693cb9-4070-4d65-8148-7969c358b6a1,1308945171601297478,CGRJVQ6EsihEymhAce1PfCgn4SL2qAjR8V74XcBHsDcT,4mwFSVUEeMzi1PMxtxEBey97vaxZ9h7QgW5wHvxS5EBdjE98dbo3haYHW7p5xFMahmXCucRGcsJ36JbZTQRaCvcX,0.02,3.73,2025-07-23 20:37:34.645239+00,completed
006c8b7f-ec85-44f4-a1d2-58b08629d93b,897073268559839302,J95sar8VVBFWpNo4RV3bgwp6w2uX9FQQkJA7msHZH9Ba,4AbSbhpc3am5fQsS9jgMZ8dr2ZNzMAdbC3fpPDkamTxpwULY8771d4b9qJSWGFhTX7kEJE9KPVNg6ouH9VG2BZsn,0.02,4,2025-07-22 12:29:13.224856+00,completed
00cc891d-4e68-4e07-9caa-c7763985bdd8,605313624315002882,EASsQYjPU6QvJkbespjJfbf9s3idvVHEH38sKeo1WygQ,5G2U9v1fSMLHbcNsLDs4SWRCNHASJBtT6FsbeBrwaRZDCMkmpgg7bD9sH1oYUE1EyFYFQJiBTbXPHksDSF62hxuK,0.02,4.04,2025-07-22 17:27:05.139918+00,completed
019f56f1-c634-479b-99c7-63ad3ba34f67,1290375584588890145,85Rbsas1ub4qvwPKjkx275PXnGgRkhZ9ivMX6xWVdhio,3NZPipMxkTTNhrtxFxtNpmjuXPNAQmLcJPnKJ2pGWZuNcMv8iKYK4wGpBuxEwwKM2itPPr7mrtMaF5S81zcA2UiN,0.02,3.39,2025-08-07 06:59:46.668084+00,completed
01a7212c-3b5d-4bf5-8a49-f60e29277dd8,1297854070186315796,7c2utUyrk9o1Vkjom4pCtugnd8KzTEirf9oYXUep2Hcj,4TgmtnQVcQvQZ3YA3tPN85ezZyMHzx42GtFGF3dF9QJ4FWTjaa7StBgGvQRwqnxCPvBVC4YGY72TGZ5RoKpSBfWY,0.02,3.99,2025-07-22 15:10:33.189135+00,completed
01f131bf-cdfc-44ad-aca5-7f297fbf781d,929322670623969300,C3t41Csg3Yj1r2pYbrZiYfNeBzpo5c7EvoYonnDaUCLJ,uRoVqyHtydQVDhggtNCNTgTDwzTL6Q423GDByqqeQiZUA5612464UnUBfcKhZb7Bz6Tr4z6zgJkUVWvdjNqtvkx,0.02,4.02,2025-07-22 22:08:32.618943+00,completed
02be76e4-0106-40e0-9856-b85269e72fad,763846547133693992,CmgBVhpfS8RDYXWNkfZiVMpiu22dQdM8Uhv21St3DScT,sJVyME6z1nznx6SeCB7wpuVyU1faXWut9H4VSp3nxR96xEkXqHG2sQRAHAwxouvhsVieXDgiDoDT2HDvxL4mRRF,0.02,3.27,2025-08-06 10:59:56.502636+00,completed
0385b344-1dcc-416e-bd54-ccff131a6c0d,902947306209415218,2CXURXurakDh82m7U3hJoy7CifmpyJ5Bhc39HUdnrRgJ,3m4vVngGzWzQJd1kTxYu6JtxSgiMANMidi2MpKjaR6EjdYKMch2q7iz1NFeFczWV3QKgBJ6VTU5UzwLAcz555cJc,0.02,3.6,2025-08-01 20:07:17.432771+00,completed
